date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:17	290/290	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Jul%202019%2013:16:48%20GMT	https://ifixandrepair.com/robots.txt		(from )
12:04:18	95612/95612	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2009:03:54%20GMT	https://ifixandrepair.com/	C:/My%20Web%20Sites/zip/ifixandrepair.com/index.html	(from )
12:04:19	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Fri,%2001%20Nov%202019%2019:21:41%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/favicon.ico	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/favicon.ico	(from https://ifixandrepair.com/)
12:04:20	50/50	---M--	200	added ('OK')	application/javascript	etag:%22104d46a3208b40e8ded389332f5a78a3%22	https://chimpstatic.com/mcjs-connected/js/users/69516b62c2ea7b952265d587e/25757c474d5d932f5f7e9fd33.js	C:/My%20Web%20Sites/zip/chimpstatic.com/mcjs-connected/js/users/69516b62c2ea7b952265d587e/25757c474d5d932f5f7e9fd33.js	(from https://ifixandrepair.com/)
12:04:20	457822/457822	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2021:24:24%20GMT	https://ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/ogimage.jpg	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/themes/ifix-theme-2.0/images/ogimage.jpg	(from https://ifixandrepair.com/)
12:04:20	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/zip/www.google-analytics.com/analytics.js	(from https://ifixandrepair.com/)
12:04:21	58171/58171	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Jul%202021%2020:25:20%20GMT	https://ifixandrepair.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.8	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-includes/css/dist/block-library/style.mind988.css	(from https://ifixandrepair.com/)
12:04:21	2029/2029	---MC-	200	added ('OK')	application/rss+xml	etag:%225082dcdac3c085dd1e836474b0c757cd%22	https://ifixandrepair.com/feed/	C:/My%20Web%20Sites/zip/ifixandrepair.com/feed/index.html	(from https://ifixandrepair.com/)
12:04:22	17639/17639	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2004:32:02%20GMT	https://ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.0.4	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout5fc8.css	(from https://ifixandrepair.com/)
12:04:22	66058/66058	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2004:32:02%20GMT	https://ifixandrepair.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.14	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylefc72.css	(from https://ifixandrepair.com/)
12:04:22	6758/6758	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2004:32:02%20GMT	https://ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.0.4	C:/My%20Web%20Sites/zip/ifixandrepair.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen5fc8.css	(from https://ifixandrepair.com/)
